,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish (old),Turkish,Vietnamese
626,Etude Op.10 No.12,Etude Op.10 No.12,القطعة الموسيقية No.12 Op.10,革命练习曲,革命練習曲,ETUDE OP.10 No.12,Etude Op.10 No.12,Etude Op.10 No.12,Etude Op.10 No.12,Etude Op.10 Nr.12,Etude op.10 No.12,Etude Op.10 No.12,Etude op.10 n. 12,에튀드 Op.10 No.12,練習曲 Op.10-12,Etude Op.10 No.12,Etude Op.10 No.12,ETUDE OP.10 nr 12,Etude Op.10 No.12,Etude Op.10 No.12,Этюд Op.10 №12,Etude Op.10 No.12,Etude Op.10 No.12,Etude op.10 No.12,Erude Op.10 No.12,Etüd Op.10 No.12,Etude Op.10 No.12
627,Sonata in G Major K283,Sonata in G Major K283,سونانا في سلم صول الكبير K283,G大调奏鸣曲K283,摹大調奏鳴曲K283,Sonate in G Major K283,Sonata in G Major K283,Sonaatti G Major K283: ssa,Sonate en G Major K283,Sonata in G-Dur K283,जी मेजर K283 में सोनाटा,Sonata di G Mayor K283,Sonata in G Major K283,소나타 G장조 K283,ソナタ ト長調 K283,Sonata di G Major K283,Sonata i G Major K283,Sonata w g -dur K283,Sonata em g major k283,Sonata em g major k283,Соната соль мажор K283,Sonata en G Major K283,Sonata i G Major K283,Sonata ใน G Major K283,G Major K283'te Sonata,Sol Majör Sonat K283,Sonata trong G Major K283
628,In the Hall of the Mountain King,In the Hall of the Mountain King,في قاعة ملك الجبل,山王殿内,山王殿內,In de hal van de Bergkoning,Sa Hall ng Mountain King,Vuorikuninkaan salissa,Dans la salle du roi de la montagne,In der Halle des Bergkönigs,पर्वतों के राजा के हॉल में,Di Aula Raja Gunung,Nella Sala del Re della Montagna,산왕의 전당에서,山の王の間で,Di Dewan Raja Gunung,I fjellkongens sal,W Sali Króla Gór,No Salão do Rei da Montanha,No Salão do Rei da Montanha,В Зале Горного Короля,En el Salón del Rey de la Montaña,I Bergskungens sal,ในห้องโถงของราชาแห่งขุนเขา,Dağ Kralının Salonunda,Dağ Kralının Salonunda,Trong hội trường của Vua Núi
629,Papillon,Papillon,الفراشة,蝴蝶,蝴蝶,Papillon,Papillon,Papillon,Papillon,Papillon,पैपिलॉन,Papillon,Papillon,빠삐용,パピヨン,Papillon,Papillon,Papillon,Papillon,Papillon,Отель papillon,Papilón,Papillon,papillon,Kelebek,Papillon,Papillon
630,Serenade,Serenade,سرينادة,小夜曲,小夜曲,Serenade,Serenade,Serenadi,Sérénade,Serenade,प्रेमी का सन्ध्या का गीत,Serenade,Serenata,세레나데,セレナーデ,Serenade,Serenade,Serenada,Serenata,Serenata,Серенада,Serenata,Serenad,เซเรเนด,Serenat,Serenat,dạ khúc
631,Modlitwa Dziewicy,Modlitwa Dziewicy,صلاة العذراء,少女的祈祷,少女的祈禱,Modlitwa dziewicy,Modlitwa Dziewicy,Modlitwa dziewicy,Modlitwa dziewicy,Das Gebet einer Jungfrau,Modlitwa dziewicy,Modlitwa dziewicy,Modlitwa dziewicy,모드리트와 지에비체,乙女の祈り,Modlitwa dziewicy,Modlitwa Dziewicy,Modlitwa Dziewicy,Modlitwa dziewicy,Modlitwa dziewicy,Девичья молитва,Modlitwa dziewicy,Modlitwa Dziewicy,modlitwa dziewicy,Bakire Duası,Genç Kızın Duası,Modlitwa Dziewicy
632,Red Berries in Blossom,Red Berries in Blossom,التوت الحمراء في الزهرة,红莓花儿开,紅莓花兒開,Rode bessen in bloesem,Red Berries in Blossom,Punaiset marjat kukassa,Baies rouges en fleur,Red Berries in Blossom,खिलने में लाल जामुन,Berry merah dalam bunga,Bacche rosse in fiore,사랑의 로맨스,紅莓花児開,Beri merah di bunga,Røde bær i blomstring,Czerwone jagody w kwiatach,Bagas vermelhas em flor,Bagas vermelhas em flor,Красные ягоды в цвету,Bayas rojas en Blossom,Röda bär i blomma,ผลเบอร์รี่สีแดงในเบ่งบาน,Çiçekte kırmızı meyveler,Çiçek Açan Kırmızı Meyveler,Quả mọng đỏ trong hoa
633,Flower and Youth,Flower and Youth,زهرة والشباب,花儿与少年,花兒與少年,Bloem en jeugd,Flower and Youth,Kukka- ja nuoriso,Fleur et jeunesse,Flower and Youth,फूल और युवा,Bunga dan Remaja,Fiore e giovinezza,꽃과 젊음,フラワー・アンド・ユース,Bunga dan Belia,Blomst og ungdom,Kwiat i młodzież,Flor e juventude,Flor e juventude,Цветы и молодёжь,Flor y juventud,Blomma och ungdom,ดอกไม้และเยาวชน,Çiçek ve Gençlik,Çiçek ve Gençlik,Hoa và tuổi trẻ
634,Le Nozze di Figaro,Le Nozze di Figaro,زواج فيغارو,费加罗的婚礼,費加羅的婚禮,Le nozze di figaro,Le Nozze di Figaro,Le Nozze di Figaro,Le Nozze di Figaro,Le Nozze di Figaro,ले नोज़्ज़ डि फिगारो,Le nozze di figaro,Le nozze di figaro,르 노제 디 피가로,フィガロの結婚,Le Nozze di Figaro,Le nozze di figaro,Le Nozze di Figaro,Le nozze di figaro,Le nozze di figaro,Свадьба Фигаро,Le Nozze di Figaro,Le nozze di figaro,Le Nozze di Figaro,Figaro’nun Düğünü,Figaro’nun Düğünü,Le Nozze Di Figaro
635,Marche Militaire,Marche Militaire,ماركي ميليتير,军队进行曲,軍隊進行曲,Marche militaire,Marche Militaire,Marche Militaire,Marche militaire,Marche Militaire,मार्चे मिलिटायर,Marche Militaire,Marche Militaire,마르쉐 밀리테어,軍隊行進曲,Marche Militiire,Marche Militaire,Marche Militaire,Marche Militaire,Marche Militaire,Марке Академии,Militaire de Marche,Marche Militaire,Marche Militaire,Askeri Marş,Askerî Yürüyüş,Militaire Marche
636,Green Sleeves,Green Sleeves,الأكمام الخضراء,绿袖子,綠袖子,Groene mouwen,Green Sleeves,Vihreät hihat,Manches vertes,Green Sleeves,हरी आस्तीन,Lengan hijau,Maniche verdi,Green Sleeves,グリーンスリーブス,Lengan hijau,Grønne ermer,Zielone rękawy,Mangas verdes,Mangas verdes,Зеленые Рукава,Mangas verdes,Gröna ärmar,แขนเสื้อสีเขียว,Yeşil Kollu,Yeşil Kolluklar,Tay áo màu xanh lá cây
637,Minuet in G Major,Minuet in G Major,المينيويت في سلم صول الكبير,G大调小步舞曲,G大調小步舞曲,Minuet in g major,Minuet in G Major,MINUET G -duurissa,Minuet en G Major,Minuett in G-Dur,जी मेजर में मिनुइट,Minuet di G Mayor,Minuet in g maggiore,미뉴에트 G장조,メヌエット ト長調,Minuet dalam g major,Minuet i G Major,Minuet w g -dur,Minuet em G Major,Minuet em G Major,Менуэт соль мажор,Minueto en g mayor,Minuet i G Major,Minuet ใน G Major,G majörde minuet,Sol Majör Minüet,Minuet trong G Major
638,The Yellow River in Anger,The Yellow River in Anger,النهر الأصفر في غضب,黄水谣,黃水謠,De gele rivier in woede,The Yellow River in Anger,Keltainen joki vihassa,La rivière jaune en colère,The Yellow River in Anger,गुस्से में पीली नदी,Sungai Kuning dengan marah,Il fiume giallo con rabbia,분노의 황하,黄河協奏曲,Sungai Kuning dalam Kemarahan,Den gule elven i sinne,Żółta rzeka w gniewie,O rio amarelo com raiva,O rio amarelo com raiva,Гнев Желтой реки,El río amarillo con ira,Den gula floden i ilska,แม่น้ำเหลืองด้วยความโกรธ,Öfkeli sarı nehir,Öfkeli Sarı Nehir,Sông vàng trong sự tức giận
639,Polka Italienne,Polka Italienne,البولكا الإيطالي,意大利波尔卡,意大利波爾卡,Polka italienne,Polka Italienne,Polka italienne,Polka Italienne,Polka Italienne,पोल्का इटालिएन,Polka Italienne,Polka Italienne,폴카 이탈리엔,イタリア・ポルカ,Polka Italienne,Polka italienne,Polka Italienne,Polka Italienne,Polka Italienne,Итальянская полька,Polka italienne,Polka italienne,polka italienne,İtalyan Polkası,İtalyan Polkası,Polka Italienne
640,Invitation to the Dance,Invitation to the Dance,دعوة إلى الرقص,邀舞,邀舞,Uitnodiging voor de dans,Invitation to the Dance,Kutsu tanssiin,Invitation à la danse,Aufforderung zum Tanz,नृत्य के लिए निमंत्रण,Undangan Tarian,Invito alla danza,춤으로의 초대,舞踏への勧誘,Jemputan ke Tarian,Invitasjon til dansen,Zaproszenie do tańca,Convite para a dança,Convite para a dança,Приглашение на танец,Invitación al baile,Inbjudan till dansen,คำเชิญไปเต้นรำ,Dansa Davet,Dansa Davet,Lời mời đến điệu nhảy
641,Etude Op.10 No.9,Etude Op.10 No.9,القطعة الموسيقية No.9 Op.10,练习曲Op.10 No.9,練習曲Op.10 No.9,ETUDE OP.10 Nr. 9,Etude Op.10 No.9,Etude Op.10 nro 9,Etude Op.10 n ° 9,Etude Op.10 Nr.9,Etude op.10 No.9,Etude Op.10 No.9,Etude op.10 n. 9,에튀드 Op.10 No.9,練習曲 Op.10-9,Etude Op.10 No.9,Etude op.10 nr.9,Etude op.10 nr 9,Etude Op.10 No.9,Etude Op.10 No.9,Этюд Op.10 №9,Etude Op.10 No.9,Etude Op.10 No.9,Etude op.10 No.9,Erude Op.10 No.9,Etüd Op.10 No.9,Etude Op.10 No.9
642,Elegie Op.3 No.1,Elegie Op.3 No.1,Elegie Op.3 No.1,悲歌,悲歌,Elegie op.3 nr. 1,Elegie Op.3 No.1,Elegie Op.3 No.1,Elegie Op.3 n ° 1,Elegie Op.3 Nr.1,ELEGIE OP.3 No.1,Elegie Op.3 No.1,ELEGIE OP.3 n. 1,엘레지 Op.3 No.1,エレジー OP.3-1,Elegie Op.3 No.1,Elegie Op.3 No.1,Elegie op.3 nr 1,Elegie Op.3 No.1,Elegie Op.3 No.1,Элегия Op.3 №1,Elegie Op.3 No.1,Elegie Op.3 No.1,elegie op.3 No.1,Elegi Op.3 No.1,Ağıt Op.3 No.1,Elegie Op.3 số 1
643,Piano Concerto No.1,Piano Concerto No.1,كونشرتو البيانو No.1,第一钢琴协奏曲,第一鋼琴協奏曲,Piano Concerto No.1,Piano Concerto No.1,Pianokonsertto nro 1,Concerto de piano n ° 1,Piano Concerto Nr.1,पियानो कॉन्सर्टो नंबर 1,Piano Concerto No.1,Concerto per pianoforte n. 1,피아노 협주곡 No.1,ピアノコンツェルト 第1番,Piano Concerto No.1,Piano Concerto No.1,Koncert fortepianowy nr 1,Concerto para piano No.1,Concerto para piano No.1,Фортепианный концерт №1,Concierto para piano No.1,Pianokonsert nr 1,เปียโนคอนแชร์โต้หมายเลข 1,Piyano Konçertosu No.1,Piyano Konçertosu No.1,Bản hòa tấu piano số 1
644,Siciliano,Siciliano,سيسليانو,西西里舞曲,西西里舞曲,Siciliano,Siciliano,Siciliano,Siciliano,Siciliano,Siciliano,Sisiliano,Siciliano,Siciliano,シチリアーナ,Siciliano,Siciliano,Siciliano,Siciliano,Siciliano,Сицилиана,Siciliano,Siciliano,ซิซิลีโน,Siciliano,Siciliano,Siciliano
645,Sonata in D Major,Sonata in D Major,سوناتا في سلم ري الكبير,D大调奏鸣曲,D大調奏鳴曲,Sonate in d majoor,Sonata in D Major,Sonaatti d Majorissa,Sonate en D Major,Sonata in D-Dur,डी मेजर में सोनाटा,Sonata di d mayor,Sonata in d maggiore,소나타 D장조,ソナタ ニ長調,Sonata di D Major,Sonata i D Major,Sonata w d -maja,Sonata em d major,Sonata em d major,Соната ре мажор,Sonata en D Major,Sonata i D Major,Sonata ใน D Major,D Major'da Sonata,Re Majör Sonat,Sonata trong d chính
646,Etude Op.10 No.2,Etude Op.10 No.2,القطعة الموسيقية No.2 Op.10,蚂蚁爬树 练习曲,螞蟻爬樹 練習曲,ETUDE OP.10 Nr. 2,Etude Op.10 No.2,Etude Op.10 No.2,Etude Op.10 No.2,Etude Op.10 Nr.2,Etude op.10 No.2,Etude Op.10 No.2,Etude op.10 n. 2,에튀드 Op.10 No.2,練習曲 Op.10-2,Etude Op.10 No.2,Etude op.10 nr.2,Etude op.10 nr 2,Etude Op.10 No.2,Etude Op.10 No.2,Этюд Op.10 №2,Etude Op.10 No.2,Etude Op.10 No.2,Etude op.10 No.2,Erude Op.10 No.2,Etüd Op.10 No.2,Etude Op.10 No.2
647,Sonata in C Major K279,Sonata in C Major K279,سوناتا في سلم دو الكبير K279,C大调奏鸣曲K279,C大調奏鳴曲K279,Sonate in C Major K279,Sonata in C Major K279,Sonaatti C Major K279: ssä,Sonate en C Major K279,Sonata in C-Dur K279,सी मेजर के 279 में सोनाटा,Sonata di C Mayor K279,Sonata in C maggiore K279,소나타 C장조 K279,ソナタ ハ長調 K279,Sonata di C Major K279,Sonata i C Major K279,Sonata w C -dur K279,Sonata em C Major K279,Sonata em C Major K279,Соната до мажор K279,Sonata en C Major K279,Sonata i C Major K279,Sonata ใน C Major K279,C Major K279'da Sonata,Do Majör Sonat K279,Sonata trong C chính K279
648,Sonatina Op.36-1,Sonatina Op.36-1,السوناتينا No.1 Op.36,小奏鸣曲Op.36-1,小奏鳴曲Op.36-1,Sonatina Op.36-1,Sonatina Op.36-1,Sonatina Op.36-1,Sonatina OP.36-1,Sonatina Op.36 Nr.1,सोनटिना ओप .36-1,Sonatina op.36-1,Sonatina Op.36-1,소나티나 Op.36-1,ソナチネ Op.36-1,Sonatina Op.36-1,Sonatina Op.36-1,Sonatina op.36-1,Sonatina Op.36-1,Sonatina Op.36-1,Сонатина Op.36 №1,Sonatina Op.36-1,Sonatina op.36-1,Sonatina op.36-1,Sonatina Op.36-1,Sonatina Op.36-1,Sonatina Op.36-1
649,Symphony No.6 in F Major,Symphony No.6 in F Major,السيمفونية No.6 في سلم فا الكبير,田园交响曲,田園交響曲,Symfonie nr. 6 in f majoor,Symphony No.6 in F Major,Sinfonia nro 6 F -majuri,Symphonie n ° 6 en F Major,Symphonie Nr.6 in F-Dur,एफ प्रमुख में सिम्फनी नंबर 6,Symphony No.6 di F mayor,Symphony No.6 in F Major,교향곡 제6번 F장조,交響曲 第6番 ヘ長調,Symphony No.6 di F Major,Symfoni nr.6 i f major,Symfonia nr 6 w F -maja,Sinfonia nº 6 em f major,Sinfonia nº 6 em f major,Симфония № 6 фа мажор,Sinfonía No.6 en f mayor,Symphony No.6 i F Major,Symphony No.6 ใน F Major,F Major'da Senfoni No.6,Fa Majör 6. Senfoni,Bản giao hưởng số 6 trong F Major
650,Sonata in C Major Mvt.2,Sonata in C Major Mvt.2,سوناتا في سلم دو الكبير Mvt.2,C大调奏鸣曲 第二章,C大調奏鳴曲 第二章,Sonate in C Major Mvt.2,Sonata in C Major Mvt.2,Sonaatti C Major Mvt.2: ssa,Sonate en C Major Mvt.2,Sonata in C-Dur 2. Satz,सी मेजर एमवीटी 2 में सोनाटा,Sonata di C Mayor MVT.2,Sonata in C maggiore Mvt.2,소나타 C장조 Mvt.2,ソナタ ハ長調 第2楽章,Sonata di C Major Mvt.2,Sonata i C Major MVT.2,Sonata w Cur Mvt.2,Sonata em C Major Mvt.2,Sonata em C Major Mvt.2,Соната до мажор 2 часть,Sonata en C Mayor MVT.2,Sonata i C Major Mvt.2,Sonata ใน C Major MVT.2,C Major Mvt.2'de Sonata,Do Majör Sonat 2. Bölüm,Sonata trong C chính MVT.2
651,Sonatina in G Major,Sonatina in G Major,سوناتا في سلم صول الكبير,G大调小奏鸣曲,G大調小奏鳴曲,Sonatina in g major,Sonatina in G Major,Sonatina in g duur,Sonatina en G Major,Sonatina in G-Dur,जी मेजर में सोनाटिना,Sonatina di g mayor,Sonatina in G Major,소나티나 G장조,ソナチネ ト長調,Sonatina di G Major,Sonatina i G Major,Sonatina w G -maja,Sonatina em g major,Sonatina em g major,Сонатина соль мажор,Sonatina en g mayor,Sonatina i G Major,Sonatina ใน G Major,G majör sonatina,Sol Majör Sonatina,Sonatina trong g lớn
652,Wilde Jagd,Wilde Jagd,وايلد جغد,狩猎,狩獵,Wilde Jagd,Wilde Jagd,Jagd,Wilde Jagd,Wilde Jagd,वाइल्ड जगद,Wilde Jagd,Wilde Jagd,와일드 야그드,ワイルドハント,Wilde Jagd,Wilde Jagd,Wilde Jagd,Wilde Jagd,Wilde Jagd,Дикая охота,Wilde Jagd,Wilde Jagd,Wilde Jagd,Vahşi Av,Vahşi Av,Wilde Jagd
653,Sonatina in D Minor Mvt. 1,Sonatina in D Minor Mvt. 1,سوناتينا في ري مينور الحركة 1,D小调小奏鸣曲 第1乐章,D小調小奏鳴曲 第1樂章,Sonatina in D Minor Mvt. 1,Sonatina in D Minor Mvt. 1,Sonatina in D Minor Mvt. 1,Sonatina in D Minor Mvt. 1,Sonatina in D Minor Mvt. 1,सोनाटिना इन डी माइनर भाग 1,Sonatina in D Minor Mvt. 1,Sonatina in D Minor Mvt. 1,소나티나 D단조 1악장,Dマイナーのソナチネ 第1楽章,Sonatina in D Minor Mvt. 1,Sonatina in D Minor Mvt. 1,Sonatina in D Minor Mvt. 1,Sonatina in D Minor Mvt. 1,Sonatina in D Minor Mvt. 1,"Сонатина в ре минор, ч. 1",Sonatina in D Minor Mvt. 1,Sonatina in D Minor Mvt. 1,โซนาติน่าในดีมินอร์ หมายเลข 1,D minör Sonatina Bölüm 1,Re Minör Sonatina 1. Bölüm,Sonatina in D Minor Mvt. 1
654,Feux Follets,Feux Follets,فوكس فلتس,鬼火,鬼火,Feux Follets,Feux Follets,Feux -folletit,Follets de FEUX,Feux Follets,फ्यूक्स फोलेट्स,Feux Follets,Folle di Feux,Feux Follets,鬼火,Feux Follets,Feux Follets,Feux Follets,Follets Feux,Follets Feux,Огни болот,Follets de Feux,Feux -follets,feux follets,Feux folletleri,Hayalet Işıkları,Feux follets
655,Smatroll,Smatroll,سمترل,山妖,山妖,Smatroll,Smatroll,Smatti,Smatroll,Smatroll,स्मैट्रॉल,Smatroll,Smatroll,스마트롤,小妖精,Smatroll,Smatroll,Smatroll,Smatroll,Smatroll,Смотролл,Smatroll,Smaatroll,smatroll,Smatoll,Küçük Troller,Smatroll
656,Danse Macabre,Danse Macabre,دانس مكابر,死亡之舞,死亡之舞,Danse Macabre,Danse Macabre,Danse Macabre,danse macabre,Totentanz,डांस मकाबरे,Danse Macabre,Danse Macabre,무시무시한 춤곡,死の舞踏,Danse Macabre,Danse Macabre,taniec śmierci,Danse Macabre,Danse Macabre,Пляска Смерти,Danse Macabre,Danse macabre,Danse Macabre,Ölüm Dansı,Ölüm Dansı,Danse rùng rợn
657,The Nutcracker Overture,The Nutcracker Overture,افتتاحية كسارة البندق,胡桃夹子 序曲,胡桃夾子 序曲,De notenkraker -ouverture,The Nutcracker Overture,Pähkinänsärkijä,L'ouverture du casse-noisette,Ouvertüre zu Nussknacker,नटक्रैकर ओवरचर,The Nutcracker Overture,L'overture di schiaccianoci,호두까기 인형 서곡,くるみ割り人形,Nutcracker overture,Nøtteknekkeren,Uwertura orzechowa,A abertura do quebra -nozes,A abertura do quebra -nozes,Щелкунчик Увертюра,La obertura de Cascanueces,Nötknäpparen,Nutcracker Overture,Fındıkkıran Uvertür,Fındıkkıran Uvertürü,Các nutcracker overture
658,Piano Sonata No.2,Piano Sonata No.2,سوناتا على البيانو No.2,降b小调奏鸣曲,降b小調奏鳴曲,Piano sonate nr. 2,Piano Sonata No.2,Piano Sonata No.2,SONATA PIANO n ° 2,Piano Sonata Nr.2,पियानो सोनाटा नंबर 2,Piano Sonata No.2,Piano Sonata n. 2,피아노 소나타 2번,ピアノソナタ 第2番,Piano Sonata No.2,Piano Sonata No.2,Sonata fortepianowa nr 2,Sonata de piano No.2,Sonata de piano No.2,Соната Для Фортепиано №2,Sonata de piano n. ° 2,Piano Sonata No.2,เปียโนโซนาต้าหมายเลข 2,Piyano Sonata No.2,2. Piyano Sonatı,Piano Sonata số 2
